YEAR,PROGRAM_AREA,Total_PROGRAM_AREA_NUM
2021,Base Shelter and Overnight Services System,34398
2021,COVID-19 Response,15781
2021,Temporary Refugee Response,572
2021,Winter Programs,187
2022,Base Shelter and Overnight Services System,34738
2022,COVID-19 Response,12526
2022,Temporary Refugee Response,1510
2022,Winter Programs,621
2023,Base Program - Refugee,2555
2023,Base Shelter and Overnight Services System,31796
2023,COVID-19 Response,9950
2023,Temporary Refugee Response,2507
2023,Winter Programs,1140
2024,Base Program - Refugee,1876
2024,Base Shelter and Overnight Services System,22660
2024,Temporary Programs,6143
2024,Temporary Refugee Response,3178
2024,Winter Programs,1629
